activity,module_code,module_short_title,module_leader,assm_type,assm_component,assm_sem,sem_1_cred,sem_2_cred,assm_percent,start_date,time_released_to_students_9_30am,spot_date,submission_time_2pm_for_cw_9_30am_for_24hr_tests,end_date,reminder_sent,date_of_when_marks_feedback_were_released_to_students,late_y_n,if_late_why,assessment_title_for_ness_canvas,check_ness_assessment_matches_mof,set_up_coursework_exam_on_ness,submission_point_added_to_canvas,query,notes,faculty_marketing_document_added
BIO8041 Other Assessment Online MCQ test,BIO8041,Antimicrobial Discovery,Dr JEM Stach,Other Assessment,Written Exercise,2,0,10,30,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8043 Exam in groups of 4 or 5 students will present the findings of,BIO8043,Practical Techniques in Molecular Biol,Dr MG Edwards,Exam,Oral Examination,1,20,0,40,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8043 Formative Assessment During the first week of exercises students will receive,BIO8043,Practical Techniques in Molecular Biol,Dr MG Edwards,Formative Assessment,Lab Exercise,1,20,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8043 Other Assessment Combination of 7 smaller assessments performed during the,BIO8043,Practical Techniques in Molecular Biol,Dr MG Edwards,Other Assessment,Prof Skill Assessmnt,1,20,0,60,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8044 Other Assessment Online MCQ test,BIO8044,Biotechnology: Advanced Topics,Dr J Marles-Wright,Other Assessment,Prob Solv Exercises,1,20,0,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8044 Other Assessment Coursework Assessment,BIO8044,Biotechnology: Advanced Topics,Dr J Marles-Wright,Other Assessment,Written Exercise,1,20,0,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8046 Other Assessment Students will apply knowledge gained from the training,BIO8046,Applied Bioinformatics,Dr MG Edwards,Other Assessment,Prof Skill Assessmnt,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8054 Other Assessment Spatial epidemiology modelling (1500 words),BIO8054,Wildlife Disease and Epidemiology,Professor SP Rushton,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8054 Other Assessment Modelling disease processes (1500 words),BIO8054,Wildlife Disease and Epidemiology,Professor SP Rushton,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8062 Other Assessment Strategy or technical plan (e.g. for ex situ or,BIO8062,Global Species Conservation,Dr Z Pattison,Other Assessment,Report,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8063 Other Assessment Risk assessment exercise (2000 words),BIO8063,Invasive Species,Dr PA Robertson,Other Assessment,Case Study,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8064 Other Assessment 2000 words.,BIO8064,Wildlife Conflicts and Management,Dr PA Robertson,Other Assessment,Written Exercise,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8066 Other Assessment Ministerial Submision 2000 words,BIO8066,Policy and Licensing,Dr PA Robertson,Other Assessment,Written Exercise,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8067 Other Assessment Wildlife tender exercise (2000 words),BIO8067,Wildlife Research in Practice,Dr PA Robertson,Other Assessment,Written Exercise,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8068 Other Assessment Students will be provided with typical raw ecological,BIO8068,Ecological data management,Dr RA Sanderson,Other Assessment,Practical/Lab Report,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8069 Other Assessment GIS to address ecological or wildlife management problems.,BIO8069,GIS and Remote Sensing,Dr RA Sanderson,Other Assessment,Case Study,2,20,0,50,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO8069 Other Assessment Manipulation of remote sensed data; processing,",BIO8069,GIS and Remote Sensing,Dr RA Sanderson,Other Assessment,Case Study,2,20,0,50,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8072 Exam Group based presentation of arguments during second,BIO8072,CHANS,Dr M Pfeifer,Exam,Oral Presentation,1,20,0,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8072 Other Assessment 1000 words summary and 1500 words underlying technical,BIO8072,CHANS,Dr M Pfeifer,Other Assessment,Report,1,20,0,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8073 Other Assessment Written analysis of a specific policy context within which,BIO8073,Global assessments for policy support,Dr Z Pattison,Other Assessment,Report,2,0,10,50,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8073 Other Assessment Scoping document of the assessment itself and how it would,BIO8073,Global assessments for policy support,Dr Z Pattison,Other Assessment,Report,2,0,10,50,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8075 Other Assessment systematic review and meta-analysis on a topic.  Approx.,BIO8075,Meta-analysis and Decision Support,Dr RA Sanderson,Other Assessment,Written Exercise,1,20,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO8075 Other Assessment Meta-analysis of set of data using R/RStudio, and",BIO8075,Meta-analysis and Decision Support,Dr RA Sanderson,Other Assessment,Written Exercise,1,20,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO8196 Other Assessment Dissertation (10,000 words)",BIO8196,Research Project,Professor MJ Whittingham,Other Assessment,Dissertation,2,0,60,75,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8196 Other Assessment Oral presentation (15 min),BIO8196,Research Project,Professor MJ Whittingham,Other Assessment,Prof Skill Assessmnt,2,0,60,15,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8196 Other Assessment Competence and professionalism,BIO8196,Research Project,Professor MJ Whittingham,Other Assessment,Prof Skill Assessmnt,2,0,60,10,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO8197 Other Assessment Dissertation (10,000 words)",BIO8197,Research Project,Dr RM Bevan,Other Assessment,Dissertation,2,20,40,75,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8197 Other Assessment Oral presentation (15 min),BIO8197,Research Project,Dr RM Bevan,Other Assessment,Prof Skill Assessmnt,2,20,40,15,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8197 Other Assessment Competence and professionalism,BIO8197,Research Project,Dr RM Bevan,Other Assessment,Prof Skill Assessmnt,2,20,40,10,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8198 Exam 10 minute presentation on the dissertation followed by 5,BIO8198,MRes Research Project,Dr J Marles-Wright,Exam,Oral Presentation,3,20,40,5,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8198 Formative Assessment Formative group presentation on project idea.,BIO8198,MRes Research Project,Dr J Marles-Wright,Formative Assessment,Oral Presentation,1,20,40,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO8198 Other Assessment Risk assessment, and COSHH, ethical assessment and GANTT",BIO8198,MRes Research Project,Dr J Marles-Wright,Other Assessment,Case Study,2,20,40,5,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO8198 Other Assessment Approx. 7000 words, to be written in the style of the most",BIO8198,MRes Research Project,Dr J Marles-Wright,Other Assessment,Dissertation,3,20,40,80,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8198 Other Assessment Project proposal Approx 2500 words in the style of an,BIO8198,MRes Research Project,Dr J Marles-Wright,Other Assessment,Research Proposal,1,20,40,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG1601 Other Assessment Choice of topic related to global climate change (approx.,CEG1601,Earth System Science,Dr GD Abbott,Other Assessment,Essay,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG1602 Exam Recorded and submitted via Canvas,CEG1602,Earth Surface Materials,Dr MP Cooke,Exam,Oral Presentation,1,10,10,25,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG1602 Formative Assessment Oral presentation and report. Group presentation (20 min),CEG1602,Earth Surface Materials,Dr MP Cooke,Formative Assessment,Practical/Lab Report,1,10,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG1602 Other Assessment Mapping practical worksheet (approx. 5 pages),CEG1602,Earth Surface Materials,Dr MP Cooke,Other Assessment,Practical/Lab Report,2,10,10,50,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG1602 Other Assessment Written report on Earth materials and processes of a given,CEG1602,Earth Surface Materials,Dr MP Cooke,Other Assessment,Report,1,10,10,25,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG1603 Formative Assessment Online Canvas test on fluid dynamics followed by feedback,CEG1603,Sedimentology and Stratigraphy,Dr C van der Land,Formative Assessment,Written Examination,2,0,10,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG1603 Other Assessment Field notebook containing observations & interpretations,CEG1603,Sedimentology and Stratigraphy,Dr C van der Land,Other Assessment,Practical/Lab Report,2,0,10,50,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG1603 Other Assessment Alternative Assessment.  Approx. 875 words.,CEG1603,Sedimentology and Stratigraphy,Dr C van der Land,Other Assessment,Written Exercise,2,0,10,50,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG1604 Other Assessment Individual report (5 pages max),CEG1604,Geology and GIS Field Course,Dr JP Telling,Other Assessment,Written Exercise,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG2602 Other Assessment Alternative Assessment,CEG2602,Minerals,Professor DAC Manning,Other Assessment,Written Exercise,1,0,10,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG2602 Pass/Fail worksheet submitted electronically,CEG2602,Minerals,Professor DAC Manning,Pass/Fail,Practical/Lab Report,#,0,10,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG2603 Other Assessment Essay (max 1500 words),CEG2603,Structural Geology,Dr S Acikalin Cartigny,Other Assessment,Essay,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG2603 Other Assessment Practical work book (max 10 pages) Three exercises relating,CEG2603,Structural Geology,Dr S Acikalin Cartigny,Other Assessment,Practical/Lab Report,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG2604 Other Assessment 3 x online tests worth 20% each,CEG2604,Global Element Cycling,Dr JP Telling,Other Assessment,Computer Assessment,1,10,0,60,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG2604 Other Assessment written exercise worth 40%.,CEG2604,Global Element Cycling,Dr JP Telling,Other Assessment,Written Exercise,1,10,0,40,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG2606 Other Assessment Reserve estimation practical (8 pages),CEG2606,Geological Resources,Dr MP Cooke,Other Assessment,Practical/Lab Report,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG2607 Other Assessment Written Report (1500 words max),CEG2607,Geomicrobiology,Dr JP Telling,Other Assessment,Report,2,0,10,70,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG2607 Other Assessment Online short answer/multiple choice,CEG2607,Geomicrobiology,Dr JP Telling,Other Assessment,Written Exercise,1,0,10,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG2608 Formative Assessment Reflective individual oral assessment (10min) at the start,CEG2608,Geological Field Mapping,Dr C van der Land,Formative Assessment,Oral Examination,2,0,20,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG2608 Other Assessment Geological map (1:1000) with legend. Cross-section in,CEG2608,Geological Field Mapping,Dr C van der Land,Other Assessment,Practical/Lab Report,2,0,20,75,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG2608 Other Assessment Individual oral assessment at the end of fieldtrip on the,CEG2608,Geological Field Mapping,Dr C van der Land,Other Assessment,Oral Examination,2,0,20,25,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG2609 Other Assessment Poster presenting analysis of 5 soil samples and peer,CEG2609,Research Methods in Environmental Pollut,Dr SL Flynn,Other Assessment,Poster,1,20,0,80,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG2609 Other Assessment 2 problem sets (each worth 10%),CEG2609,Research Methods in Environmental Pollut,Dr SL Flynn,Other Assessment,Written Exercise,1,20,0,20,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG3606 Other Assessment Data interpretation,CEG3606,Biogeochemistry,Dr GD Abbott,Other Assessment,Report,2,0,20,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG3607 Other Assessment Individual design report max. 6 pages,CEG3607,Engineering Geology,Dr S Acikalin Cartigny,Other Assessment,Report,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG3608 Exam Post field individual oral assessment of field note book,CEG3608,Field Course,Dr C van der Land,Exam,Oral Examination,2,10,10,55,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG3608 Formative Assessment Detailed geological interpretation of outcrop visited by VR,CEG3608,Field Course,Dr C van der Land,Formative Assessment,Practical/Lab Report,1,10,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG3608 Other Assessment Geological exercise using information from VR platform and,CEG3608,Field Course,Dr C van der Land,Other Assessment,Practical/Lab Report,2,10,10,45,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG3699 Exam Early stage project oral presentation,CEG3699,Earth Science Dissertation,Dr JP Telling,Exam,Oral Examination,1,10,20,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CEG3699 Other Assessment Dissertation (journal paper format, suggested 6000 words,",CEG3699,Earth Science Dissertation,Dr JP Telling,Other Assessment,Dissertation,2,10,20,70,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG3699 Other Assessment Poster to concisely and clearly communicate key results of,CEG3699,Earth Science Dissertation,Dr JP Telling,Other Assessment,Poster,2,10,20,20,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8604 Other Assessment 15min presentation (70%) and worked calculations submission,CEG8604,Introduction to Microbiology,Professor IM Head,Other Assessment,Report,2,0,10,40,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8604 Other Assessment 90 minutes. To replace Written Exam  (Unseen MCQ,CEG8604,Introduction to Microbiology,Professor IM Head,Other Assessment,Written Exercise,2,0,10,60,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8605 Other Assessment Geochemists workbench practical write-up (6 pages),CEG8605,Aqueous Geochemistry,Professor ND Gray,Other Assessment,Report,2,0,10,30,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8605 Other Assessment Aqueous Geochemistry calculation exercise (maximum of 10,CEG8605,Aqueous Geochemistry,Professor ND Gray,Other Assessment,Report,2,0,10,70,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8606 Other Assessment Report of approximately 2000 words.,CEG8606,"Sources, Fates and Control of Pollutants",Dr DM Jones,Other Assessment,Written Exercise,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8607 Other Assessment Individual essay on a topic designed to test the,CEG8607,The Environment Business,Professor DAC Manning,Other Assessment,Essay,1,10,0,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CEG8607 Other Assessment Group business plan,students receiving individual marks for",CEG8607,The Environment Business,Professor DAC Manning,Other Assessment,Prof Skill Assessmnt,1,10,0,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8608 Other Assessment Site options report in accordance with CLR 11 (9 Pages),CEG8608,Remediating Contaminated Land,Dr MP Cooke,Other Assessment,Report,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8640 Formative Assessment Half-day lab exercise,CEG8640,Environmental Organic Analysis,Dr DM Jones,Formative Assessment,Lab Exercise,2,0,10,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8640 Other Assessment Practical report (2000 words),CEG8640,Environmental Organic Analysis,Dr DM Jones,Other Assessment,Practical/Lab Report,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8641 Exam 15 minute group presentation,CEG8641,Environmental Inorganic Analysis,Dr SL Flynn,Exam,Oral Presentation,1,10,0,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CEG8641 Other Assessment Practical Report (2,500 words)",CEG8641,Environmental Inorganic Analysis,Dr SL Flynn,Other Assessment,Practical/Lab Report,1,10,0,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8642 Other Assessment Essay (2000 words),CEG8642,Environmental Organic Matter,Dr DM Jones,Other Assessment,Essay,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8690 Exam Dissertation final presentation (15 minutes),CEG8690,MEarthSci Research Project,Dr JP Telling,Exam,Oral Presentation,2,30,30,10,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8690 Other Assessment Dissertation (max 75 pages),CEG8690,MEarthSci Research Project,Dr JP Telling,Other Assessment,Dissertation,2,30,30,60,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8690 Other Assessment PIR  Project Inception Report (2000 words approx.),CEG8690,MEarthSci Research Project,Dr JP Telling,Other Assessment,Report,1,30,30,20,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEG8690 Other Assessment E-portfolio Personal development report,CEG8690,MEarthSci Research Project,Dr JP Telling,Other Assessment,Report,2,30,30,10,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1000 Other Assessment 5 x online computer assessment (20% each),CHY1000,Maths for Chemists,Dr MR Probert,Other Assessment,Computer Assessment,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1010 Other Assessment Reflective vlog on aspect of Chemistry literature (max 2,CHY1010,Skills for Chemists,Dr AR Pike,Other Assessment,Design/Creative Proj,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1010 Other Assessment Group poster session,CHY1010,Skills for Chemists,Dr AR Pike,Other Assessment,Poster,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1110 Exam End of module examination,CHY1110,Fundamentals of Organic Chemistry,Dr JG Knight,Exam,Written Examination,2,10,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1110 Formative Assessment Semester 1 module material,CHY1110,Fundamentals of Organic Chemistry,Dr JG Knight,Formative Assessment,PC Examination,1,10,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1200 Other Assessment Online calculation assessments (8 pieces),CHY1200,General Chemistry,Dr EM Tuite,Other Assessment,Computer Assessment,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1211 Formative Assessment Practice calculations.  In-class exercises will be given,CHY1211,Fund of Phys Chem,Dr BR Horrocks,Formative Assessment,Practical/Lab Report,2,0,20,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1211 Other Assessment Fundamentals of Physical Chemistry Written Assessment.  Max,CHY1211,Fund of Phys Chem,Dr BR Horrocks,Other Assessment,Written Exercise,2,0,20,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1310 Formative Assessment Online Canvas quiz,CHY1310,Fundamentals of Inorg Chem,Dr H Kossen,Formative Assessment,Computer Assessment,1,10,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1310 Formative Assessment Online Canvas quiz,CHY1310,Fundamentals of Inorg Chem,Dr H Kossen,Formative Assessment,Computer Assessment,1,10,10,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1310 Formative Assessment Online Canvas quiz,CHY1310,Fundamentals of Inorg Chem,Dr H Kossen,Formative Assessment,Computer Assessment,2,10,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1310 Formative Assessment Online Canvas quiz,CHY1310,Fundamentals of Inorg Chem,Dr H Kossen,Formative Assessment,Computer Assessment,2,10,10,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1310 Formative Assessment N/A,CHY1310,Fundamentals of Inorg Chem,Dr H Kossen,Formative Assessment,PC Examination,1,10,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1310 Other Assessment Summative assessment and MCQ,CHY1310,Fundamentals of Inorg Chem,Dr H Kossen,Other Assessment,Computer Assessment,2,10,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1510 Other Assessment Single online assessment after 1st block of lab work,CHY1510,Chem Labs 1,Dr Z McMillan,Other Assessment,Practical/Lab Report,1,10,10,20,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1510 Other Assessment Single online assessment after 2nd block of laboratory work,CHY1510,Chem Labs 1,Dr Z McMillan,Other Assessment,Practical/Lab Report,1,10,10,20,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1510 Other Assessment Single online assessment after 3rd block of laboratory work,CHY1510,Chem Labs 1,Dr Z McMillan,Other Assessment,Practical/Lab Report,2,10,10,20,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1510 Other Assessment Single online assessment after 4th block of laboratory work,CHY1510,Chem Labs 1,Dr Z McMillan,Other Assessment,Practical/Lab Report,2,10,10,20,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1510 Other Assessment Dry Lab report,CHY1510,Chem Labs 1,Dr Z McMillan,Other Assessment,Practical/Lab Report,1,10,10,20,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
